date,Massachusetts,bronchitis,cold,symptoms of the flu,flu symptoms,rsv,sinus,pneumonia,stomach flu,the flu symptoms,flu how long,how long flu,the flu,strep,strep throat,contagious flu,flu contagious,symptoms of flu,fever flu,flu fever,how long does flu last
2013-06-15,0.688924,257.8037306625915,6181.138505566365,0.0,0.0,0.0,811.4894419390218,640.1371157785468,137.61573489778652,0.0,0.0,0.0,94.16059331489744,1030.5227730395495,659.7031359503358,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-22,0.585076,345.68165541707845,5456.629170690321,0.0,110.32927766597054,0.0,998.7470206795174,600.0596735180002,0.0,0.0,93.9821649458872,93.98216494588722,105.95327021672344,817.7247356767045,602.0768496229268,85.77676862921732,0.0,0.0,0.0,0.0,0.0
2013-06-29,0.602236,255.8401398116917,6190.286599629612,0.0,128.8070366425379,113.82911231644118,724.7818490907848,662.7855771700661,0.0,0.0,0.0,0.0,113.07694875825082,835.5162235113345,550.4027048120241,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-06,0.602604,289.5315051561104,6053.74012986608,0.0,109.27323446884792,0.0,664.414994758955,601.6341807567021,0.0,0.0,0.0,0.0,103.81847987425836,629.6906380305743,406.0867854059397,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-13,0.521329,266.95430379752025,6052.367678794101,0.0,0.0,133.90626746751985,540.4698413418419,693.2429933229753,117.1758613085304,0.0,0.0,0.0,0.0,767.6698160064976,499.09900636404734,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-20,0.603887,327.326634142241,5857.873466316444,0.0,0.0,0.0,716.2199615257663,493.9385103579221,199.92238807814527,0.0,0.0,0.0,126.25010203901532,810.1388264767146,585.9543485770465,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-27,0.447231,273.55199459979303,5709.139837970198,0.0,0.0,0.0,761.1923198205897,560.6239932601567,0.0,0.0,0.0,0.0,0.0,698.9787132255481,538.8061108026317,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-03,0.481348,179.43192783520797,5256.511734656639,0.0,165.47637857796553,0.0,844.2717565432694,672.758527201281,120.7610722212829,0.0,0.0,0.0,98.63060878768444,765.0451864826829,599.2633017592835,0.0,0.0,0.0,144.3345868296603,144.33458682966028,0.0
2013-08-10,0.585331,262.09628258953427,5479.013583506429,0.0,0.0,0.0,865.4147986678796,648.4799901746344,0.0,0.0,0.0,0.0,0.0,817.3100423614694,491.3872910898833,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-17,0.44635,282.3359178097773,6031.768921069236,0.0,93.58465390544232,0.0,902.9702531077336,452.4976878821394,0.0,0.0,0.0,0.0,0.0,726.8553201098358,400.1821257007157,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-24,0.525904,228.8869365788792,6073.934253866951,0.0,125.24378160627865,0.0,899.73230911457,559.7551774761903,0.0,0.0,0.0,0.0,0.0,851.617399979702,443.4200138301964,124.62893465068164,0.0,0.0,0.0,0.0,0.0
2013-08-31,0.37996,247.897200627322,5755.937678720552,0.0,0.0,0.0,909.3858293390556,655.4180087641762,0.0,0.0,0.0,0.0,98.28510725352002,667.7271175012738,341.01897446674406,0.0,0.0,90.21201337148749,0.0,0.0,0.0
2013-09-07,0.256022,245.3079536196117,5980.369574787221,0.0,128.55610814270182,0.0,799.8441298426884,687.5890310199579,0.0,120.04523651786572,0.0,0.0,115.237902797991,565.9053609430932,328.2518126994555,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-14,0.431389,285.99326471259724,6623.861209825776,0.0,158.83368646141955,0.0,887.1532840520599,476.5776723981679,0.0,0.0,0.0,0.0,277.0189678525191,835.8162086199354,525.2583361060897,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-21,0.532184,277.29111302563547,7313.947659991581,0.0,159.88476397387248,0.0,917.9157381691692,817.3959942245127,0.0,0.0,0.0,0.0,352.21260843206954,716.8766653991208,496.3407501049138,82.12060064370316,0.0,0.0,0.0,0.0,0.0
2013-09-28,0.495255,446.05469718008175,7676.53096403075,0.0,256.2874084011646,128.0954321707673,1312.5091430782402,953.7401951512544,0.0,0.0,0.0,0.0,389.8863052005404,696.8496095094389,502.3173071482309,0.0,99.98604197244562,0.0,0.0,0.0,0.0
2013-10-05,0.621216,417.0563977004398,6717.28843311117,0.0,368.871255649707,0.0,968.0246687463748,962.0415925163204,122.46438581378962,0.0,182.1053077619889,182.1053077619889,544.0801844346987,738.5928659184208,625.6318346969772,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-12,0.702243,423.7787296015308,6224.066852065841,0.0,310.7923045400797,0.0,1087.3088173476272,885.8337895388294,97.54636355409416,0.0,0.0,0.0,474.1698009905252,762.2559481346908,613.7243862870433,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-19,0.838235,399.4507714093762,6953.276481721243,0.0,285.4424690127204,0.0,1229.159106763237,979.7885016872764,0.0,0.0,109.2581533055462,109.2581533055462,512.7499646012066,707.4184242938466,508.9008603305819,0.0,0.0,96.0482565101649,0.0,0.0,0.0
2013-10-26,0.714331,499.66196616713074,7283.309160265848,0.0,392.5040532230883,0.0,1053.339927367736,1037.3655177481917,104.74097732752976,100.2407412671406,91.0258771632405,91.02587716324048,543.8218613174082,766.7240988712357,541.0417945953192,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-02,0.752864,430.34045998140255,7441.359824621965,0.0,399.0299196139334,106.25816894701391,1294.5204315142794,908.1695087415574,0.0,87.26433647394114,0.0,0.0,512.7838395530298,745.1748168324355,527.2574399581276,0.0,0.0,112.34819056833572,0.0,0.0,0.0
2013-11-09,0.792602,354.2213509521168,7613.959287093663,0.0,165.05865568347673,101.47054516681082,1222.4759809938678,1054.6815698840253,86.599584686173,0.0,0.0,0.0,395.008608166352,963.3072510308482,583.8472131235551,0.0,104.93142465238208,0.0,0.0,0.0,0.0
2013-11-16,0.858244,535.9821558249961,8242.799254140455,0.0,279.6050557954372,120.09703258469337,1119.663817152615,951.7959433425024,107.18303548451117,0.0,99.8866705148396,99.8866705148396,437.7824263424697,1064.419258263086,697.191145748325,122.72645293509636,0.0,0.0,0.0,0.0,0.0
