date,Oklahoma,the flu,flu symptoms,rsv,pneumonia,how long flu,the flu symptoms,flu a,symptoms of flu,flu how long,strep,stomach flu,contagious flu,sinus,flu contagious,strep throat,bronchitis,fever flu,how long contagious,type a flu,flu type a
2012-01-28,3.34881,654.0381389884786,0.0,656.6744552803541,1406.1661617856353,0.0,0.0,0.0,0.0,0.0,1240.9566068473212,0.0,0.0,1241.6028252855674,0.0,693.8926858704123,569.2813397656693,0.0,0.0,0.0,0.0
2012-02-04,3.20573,0.0,0.0,1147.849894190576,1150.752563611726,0.0,0.0,0.0,0.0,0.0,1254.6066193007853,0.0,0.0,1895.9507585490232,0.0,943.3397196932046,814.6507811032494,0.0,0.0,0.0,0.0
2012-02-11,3.14499,0.0,0.0,2067.0703169428216,1575.3092075791271,0.0,0.0,0.0,0.0,0.0,1376.4840330108143,0.0,0.0,1391.9849863113295,0.0,844.232709295595,0.0,0.0,0.0,0.0,0.0
2012-02-18,4.30293,712.3340836638699,0.0,1561.004169982763,1548.1165038709858,0.0,0.0,0.0,0.0,0.0,913.5527070615044,0.0,0.0,1551.6821333795308,0.0,712.3755910239696,888.9637197502078,0.0,0.0,0.0,0.0
2012-02-25,5.80408,924.825562063988,0.0,1626.8009297901472,1826.8946758351003,0.0,0.0,0.0,0.0,0.0,1561.7054080237806,0.0,0.0,1836.7158530834056,0.0,763.231182209213,651.161185623943,0.0,0.0,0.0,0.0
2012-03-03,6.02966,621.462020929949,1064.6097709072922,896.8761685479794,1388.4493701221716,0.0,0.0,467.4738124641714,0.0,0.0,1050.8562610781073,0.0,0.0,1730.7847524637525,0.0,560.9736313822809,771.8348576183613,0.0,0.0,0.0,0.0
2012-03-10,6.85728,1136.0946154015755,997.2553476911212,1029.721333865628,1458.7964843215238,0.0,0.0,0.0,673.2835275146487,0.0,908.2459865856824,0.0,0.0,1318.484600154448,0.0,683.9571438472626,1434.5127050547062,0.0,0.0,0.0,0.0
2012-03-17,8.18255,1019.8354215758884,862.4148332266759,902.1039194844852,991.421511482135,457.0355049343231,0.0,446.9340025686834,0.0,0.0,1470.419127876119,649.9545684509421,0.0,1322.5241856207967,0.0,1042.6655990514432,886.4904146262578,0.0,895.2857898321147,612.3501721882269,612.3501721882269
2012-03-24,3.92518,0.0,897.6668844753822,0.0,587.3847028955795,0.0,0.0,0.0,0.0,0.0,1420.5311912342206,0.0,0.0,1829.289542925728,0.0,627.738919249598,678.1821611853752,0.0,0.0,0.0,0.0
2012-03-31,2.28607,0.0,0.0,0.0,1339.5534936682827,0.0,0.0,838.7335449386813,0.0,0.0,901.5029230853928,0.0,0.0,1237.597774777923,0.0,619.3417647851164,0.0,0.0,0.0,964.7517453906164,964.7517453906164
