date,New York,how long flu,flu how long,contagious flu,how long does the flu last,how long does flu last,symptoms of the flu,the flu symptoms,stomach flu,flu a symptoms,a influenza,influenza a,flu contagious,symptoms of flu,flu cough,flu symptoms,flu medicine,the flu,bronchitis,fever flu,flu fever
2018-05-12,1.50123,79.18669882723943,64.04121391738127,0.0,0.0,0.0,0.0,27.97672658498125,196.4670588376921,0.0,39.50512635664413,39.50512635664414,29.813423334926885,34.37064405933004,38.27575367935896,220.43687630749275,35.39155662131444,331.81297406327167,510.2169527192025,46.53990859507535,46.53990859507537
2018-05-19,1.42733,71.37121778479134,70.4437475177976,0.0,0.0,0.0,37.29484644007769,55.941828141374415,161.2808475305414,0.0,37.477551760137466,37.477551760137466,0.0,32.868496616123664,0.0,216.0107100527444,47.25434109635456,284.98843756850914,486.1804017402122,52.86709642790568,52.86709642790568
2018-05-26,1.24434,52.49746057320586,31.74012440855873,0.0,0.0,33.92448679388059,30.398057574916987,38.720193826032826,152.2638320031334,0.0,0.0,0.0,0.0,43.50403108074579,0.0,180.7433687405153,39.29688560955551,235.6658484456399,508.42356108660505,45.6552676196603,45.6552676196603
2018-06-02,1.39104,81.47795134231765,82.62369022733304,0.0,0.0,33.71388354323774,28.434892801036227,62.56732117397555,165.9327959289119,0.0,33.77862256375752,33.77862256375751,37.0018903969166,72.64755745564457,39.71169619114374,298.2707839548711,55.15997050318165,343.4030554225488,520.0486204615548,66.8622477796151,66.8622477796151
2018-06-09,0.0269724,41.75451461485071,27.536966017272498,0.0,0.0,0.0,30.96848247204294,0.0,82.80435601018323,0.0,0.0,0.0,0.0,34.83500170425789,27.724890225702698,191.90268745558035,40.20772238351184,232.2014971198492,482.4304872284472,53.1693915140258,53.1693915140258
2018-06-16,0.0407609,44.76475267427228,39.567144172465696,0.0,0.0,0.0,0.0,0.0,135.98220202691104,0.0,0.0,0.0,0.0,27.916435697138372,31.0941370811695,165.26519484730187,31.031973024404092,234.47601964012972,458.2795423817812,35.72366680236676,35.72366680236676
2018-06-23,0.0,0.0,36.09151712620688,0.0,0.0,0.0,0.0,0.0,104.57044113202602,0.0,0.0,0.0,0.0,41.56268476594739,0.0,138.8241779581944,0.0,109.74086628643629,333.8097399390032,38.50706259929902,38.50706259929902
2018-06-30,0.0150943,48.18514605307416,44.19101574756235,0.0,0.0,0.0,0.0,39.309650723577626,125.89527459182536,47.18398649126346,46.14496438790346,46.14496438790346,0.0,33.6663983400679,0.0,134.42722884636052,0.0,192.93931624294527,374.87748351510334,31.590617070675,31.590617070675
2018-07-07,0.0176025,48.41303892188332,76.8174980825057,0.0,0.0,38.01501238146127,0.0,31.68980614505284,96.24451678959718,33.84067993335585,0.0,0.0,0.0,40.90065477430609,45.925956471050526,183.72566298075296,49.30000101243888,197.8627973779965,346.7060561254476,38.806239894508494,38.806239894508494
2018-07-14,0.0,0.0,39.028539893816735,0.0,0.0,0.0,0.0,0.0,107.4134678450246,33.81916054628619,0.0,0.0,0.0,48.01902090934794,0.0,138.85422230947867,0.0,147.34760724584766,275.0996572917638,30.677970299183173,30.677970299183173
2018-07-21,0.0,36.07208261253323,35.11066878765121,0.0,0.0,0.0,0.0,0.0,57.93181796147888,0.0,0.0,0.0,32.443198648468275,0.0,0.0,130.6626046043075,0.0,158.9495069450119,299.5232856502963,0.0,0.0
2018-07-28,0.0135135,53.588247826986255,59.86313120845673,0.0,0.0,0.0,0.0,0.0,98.11011856258853,0.0,0.0,0.0,0.0,29.4196846568344,0.0,140.91121119543484,37.89653531217345,96.8566154349328,236.32385660651727,0.0,0.0
2018-08-04,0.0136836,28.37851199218448,0.0,0.0,0.0,0.0,0.0,0.0,105.05104062001044,0.0,0.0,0.0,0.0,0.0,0.0,138.9041562729128,0.0,188.7669762803114,278.8981846794538,0.0,0.0
2018-08-11,0.0,30.608108552826398,32.43216657722645,29.18704220226075,27.846478279926227,0.0,0.0,0.0,71.31769574105255,0.0,0.0,0.0,27.823694989419945,0.0,0.0,109.63313374959546,42.55470350896464,167.46744031474606,294.13236204175064,0.0,0.0
2018-08-18,0.0,29.4006737888819,35.80733830671133,0.0,0.0,0.0,0.0,0.0,72.45125984396782,0.0,0.0,0.0,0.0,0.0,0.0,157.63898369865765,27.502088743440307,171.2726451637508,350.40041595671096,62.51075040460045,62.51075040460045
2018-08-25,0.0,35.74252769610664,45.37158828544637,0.0,0.0,0.0,0.0,0.0,72.55316916925923,0.0,0.0,0.0,0.0,0.0,0.0,110.87831253295748,0.0,201.6044855778937,307.1495993203509,0.0,0.0
2018-09-01,0.0,48.061675349486286,37.74147071495832,0.0,0.0,48.80531634027767,0.0,43.49415661885008,96.12077140372148,0.0,0.0,0.0,0.0,35.12475281309417,30.75367467558159,163.0759934220645,0.0,221.3034198906537,306.11487040972446,0.0,0.0
2018-09-08,0.0796178,75.05034283255601,83.46671091006776,0.0,0.0,0.0,0.0,27.60634863729249,149.61807366866182,0.0,0.0,0.0,0.0,42.086907771708894,38.19670018662367,189.58336073483147,0.0,321.89405862995767,317.8441035959842,41.76510996334408,41.76510996334407
2018-09-15,0.260841,76.69550675083967,78.44743700355362,0.0,0.0,28.811046900738496,0.0,35.099104933114404,107.21757828606007,36.182084442783314,33.25086051446004,33.25086051446004,26.859438135151382,41.47794724491085,34.79929511969195,276.0528380782148,45.26994434426364,417.6336476744428,384.5562530556554,43.94166730204191,43.94166730204191
2018-09-22,0.342359,87.79641336617352,108.50282108303588,35.704055344123,32.54664800447234,32.298514713458744,0.0,0.0,128.3580531834853,0.0,0.0,0.0,0.0,62.74214013398216,41.89669143087878,297.6705354720529,61.69503188891999,528.7305747266648,463.692709874775,70.01576318652123,70.01576318652123
2018-09-29,0.22658,132.6038046929804,128.4602235235262,30.33333143159976,0.0,51.96708802160582,0.0,0.0,111.65781750610284,0.0,0.0,0.0,27.753312285977763,45.835943547052345,38.740390105787455,314.8108592696638,71.49020861145749,662.5575891483383,584.9517242952733,93.67078285500484,93.67078285500482
2018-10-06,0.964964,96.40692484193148,114.22787810861848,41.74692394505356,0.0,34.80126513171461,39.04657866883311,53.93445627479728,129.59775377980543,32.368667358024375,41.45496731696259,41.45496731696259,38.69755028318944,70.58310222549048,41.37177767362065,362.1937124405648,61.30250630442792,800.7165697471958,662.8915961122361,78.77206436341419,78.77206436341419
