date,Minnesota,influenza a,a influenza,pneumonia,influenza b,stomach flu,influenza symptoms,rsv,flu symptoms,the flu,how long contagious,symptoms of flu,the flu symptoms,influenza contagious,flu how long,how long flu,strep,sinus,strep throat,influenza a symptoms,symptoms of influenza
2012-10-27,0.598555,0.0,0.0,899.9663003591019,0.0,310.404599841481,231.98408384440145,215.16013535829407,407.4554395534773,509.3525144139359,143.05976148491104,0.0,0.0,0.0,274.3108766245709,274.3108766245709,1168.6861474872892,1118.841521349634,862.8269280761884,0.0,0.0
2012-11-03,0.765358,0.0,0.0,1160.0589050419333,0.0,181.1564171051772,0.0,0.0,318.46316401144543,439.9130805609633,0.0,0.0,163.54783927959758,0.0,0.0,0.0,907.1810176501232,1081.9214132693255,549.0756575369586,0.0,0.0
2012-11-10,0.730519,0.0,0.0,1034.1235638443973,0.0,573.7600785198854,0.0,0.0,399.65309757227647,533.1063394737719,0.0,0.0,159.6624412991708,0.0,159.97094000859155,159.97094000859155,1042.2134317414077,1053.0273367029738,712.2490884844148,0.0,0.0
2012-11-17,0.61894,0.0,0.0,917.393754193732,0.0,541.1181800987956,0.0,0.0,391.0801485546151,505.59941751457626,0.0,0.0,0.0,0.0,0.0,0.0,1355.063001748532,1467.081605463084,910.659447966514,0.0,0.0
2012-11-24,1.05714,0.0,0.0,649.5172009525479,0.0,443.5102261349046,0.0,290.1182436403563,377.9175207423024,546.6389926058393,258.16643872472974,177.9581484734461,0.0,0.0,0.0,0.0,1284.4529185905303,1436.1675882419954,821.1921002285515,0.0,0.0
2012-12-01,0.966879,0.0,0.0,1153.3713433846565,0.0,754.3700162883006,0.0,188.89909795232043,696.2499162842788,948.6855922826436,0.0,0.0,0.0,0.0,190.0658026871979,190.06580268719796,1343.244759448483,1307.0254561922138,976.6681767235714,0.0,0.0
2012-12-08,0.953961,0.0,0.0,961.6210865858388,0.0,436.8388541764325,170.56410303001053,369.7832259902888,589.2412240123422,813.7036917980561,0.0,219.3147489749623,0.0,0.0,179.59292652749048,179.59292652749048,1427.5215304241644,1484.5224078036536,793.7480303206235,0.0,151.21057867519167
2012-12-15,1.78823,255.99947452369747,255.99947452369744,1252.6549441077816,227.05575073333452,538.5009648322889,299.6429202747834,432.4482031726136,677.0650670776363,679.7121517199595,0.0,0.0,0.0,0.0,0.0,0.0,1345.564521862594,1192.5441307537274,729.1996953348824,0.0,0.0
2012-12-22,3.05277,703.5962493422932,703.5962493422932,1359.683576237774,415.7821529178573,547.6063729196328,330.0290772830974,385.676210364566,908.0602096666923,860.2307932147115,0.0,0.0,0.0,0.0,313.8561989654415,313.8561989654415,1205.0847836747407,1437.7562856497373,991.0935048654666,0.0,0.0
2012-12-29,6.67769,718.20314193562,718.2031419356201,1902.34535265459,360.5310865187776,1195.8103274636546,374.65196158386505,379.33152658968567,1108.2404225134076,1530.9482406846043,457.60762499418826,261.7253609509229,216.3309154088223,0.0,319.1359933614472,319.1359933614472,1379.5071542625951,1610.1429765493003,913.1215559815904,0.0,182.4455805794076
