date,Michigan,flu symptoms,the flu,symptoms of flu,the flu symptoms,flu how long,flu cold,rsv,stomach flu,how long flu,influenza a,a influenza,contagious flu,influenza symptoms,flu fever,fever flu,flu contagious,flu a,is flu contagious,bronchitis,strep
2013-12-21,2.44917,505.1994200202527,753.061897653151,114.39478535633646,0.0,180.38434732529987,196.7501504365776,405.6492889833642,497.7608077510764,232.73660032109763,0.0,94.31798003149214,87.95437792743036,0.0,0.0,0.0,0.0,267.8581778885769,0.0,699.8780645786569,993.7250988734684
2013-12-28,3.35632,915.3562408067182,1242.456417726675,133.59420497498132,111.31314499360204,331.7839835036873,212.6089089257291,366.9698658811842,661.9195768639614,180.13059395378394,334.6711831690325,186.11711837425463,249.11752200015857,0.0,0.0,0.0,181.52935103807428,580.1559915205064,0.0,828.6411491425495,1070.0252190524382
2014-01-04,3.56317,1109.458311221695,1584.2805421805065,187.7503025620222,148.7726737738737,466.77673317202266,372.3436170824437,589.9012135053998,844.6234765391549,413.9819439242837,208.9100054796275,188.90622955326089,136.7229195557177,99.08511360737086,175.85733426003586,175.85733426003586,128.3918654779261,546.8673318709543,138.92208884888356,1210.60989208281,1112.675514310569
2014-01-11,3.15222,1281.3187700275512,1867.2934238340224,314.58676645866746,388.93554070298535,301.72254048318354,311.79363881118405,338.36129689043213,473.6266525466597,267.668264132679,172.15942622972346,162.5621556552808,117.56096340569592,103.7736771405102,0.0,0.0,110.33114288023565,625.8958019281754,86.03088481340822,821.1820620468333,861.9092771604113
2014-01-18,2.44761,1039.4321507770385,1591.569181048779,295.03648375932585,120.19610743664822,302.8612160570916,173.6182103899003,475.2643245430029,516.889704775538,216.7204273522737,161.9740756041707,150.4199396423696,104.8727797874556,177.43820887929922,105.38689794770043,105.38689794770043,155.2352936687049,860.0182200296908,0.0,700.4536585641916,881.8735012715271
2014-01-25,2.5653,1171.2686393935985,1237.1378453453983,220.9082835090419,168.98237667744098,267.0469793510094,313.35672659343663,399.8188168371238,547.8477004105202,361.7657316197291,134.69704954413805,188.04052036066835,0.0,0.0,120.9190355069314,120.9190355069314,100.51828563185931,483.20061460160383,92.31204343854584,554.1544564473562,1011.0580239915514
2014-02-01,2.40028,761.1887934439654,1052.0829992995043,175.40544580114326,119.38451721106632,166.08225115663427,260.8227023339915,519.4378022008395,349.95257569478514,157.53334516363878,97.0085157099168,118.69964623175812,0.0,0.0,0.0,0.0,84.52707503537007,377.7311249591073,0.0,667.8372380472264,898.8450371327664
2014-02-08,2.33985,460.195841879352,674.7978503798247,191.16909382646065,144.43266066353564,118.62107169910352,166.68763542342506,679.9777172143401,327.7995091662665,135.10264523636604,139.57741213314506,184.852467518665,0.0,0.0,0.0,0.0,0.0,239.08907553876344,0.0,511.7522860468909,924.8851317174548
2014-02-15,2.38357,517.8711708104892,560.9719787055377,177.97408844324295,81.59366251434838,114.08873839480788,260.9244605899342,343.270654469462,411.1569596184783,104.29788928993712,85.11973485181528,148.65308623074216,0.0,0.0,0.0,0.0,0.0,272.84709208963466,0.0,613.8837709273258,1268.3821679897983
2014-02-22,2.53917,348.5398508155248,490.8332459690917,87.83562443025849,0.0,0.0,185.3592841266138,406.2250860734871,312.93670602967194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.58244534793938,283.8702761929927,0.0,561.4204981848554,915.1390882586812
2014-03-01,1.90937,472.3775809835832,495.7345228630247,161.7523528734024,0.0,158.56205944708748,199.1739521644223,437.0383068510116,385.8860315664572,113.3415850148594,101.48832906363538,0.0,106.09002607630111,0.0,0.0,0.0,96.07604958176653,130.34429072731757,83.1958838681124,583.1567982744407,1039.4584329769784
2014-03-08,2.25215,334.311418031394,503.5151124988463,0.0,0.0,116.5930920475693,144.32742107882927,387.7921619161916,468.6528326753751,104.7579142865591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.15095016858717,0.0,472.6337238005193,920.9713283241404
2014-03-15,2.0962,395.3723341804545,502.6138699595092,136.8802580216703,90.78984092620132,0.0,207.3742034845273,307.79613391589874,492.8498487752202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.08891171760328,0.0,498.751507521256,1239.0138049208826
2014-03-22,2.02663,296.33189964897963,535.5336583446013,0.0,90.87258726493998,135.3552557962157,123.72980720750968,336.8424989230854,450.1738455146893,134.96790686746675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.79858070130783,0.0,705.4793144331597,1052.993336490255
2014-03-29,1.71558,288.11707616583567,442.5397487136317,90.5857338070536,0.0,0.0,139.50551707192983,298.94454414102665,593.423932820468,110.95542847573384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.15483138573063,0.0,497.0782056092255,1098.4038137243338
2014-04-05,1.65936,316.85055979678344,511.2294792514775,0.0,0.0,152.24478280941472,157.84870158750044,331.496392628357,482.62265261873847,127.84315275513748,0.0,135.44169583929107,100.3920204086316,103.04740214656007,0.0,0.0,152.78951165616957,156.59229103607717,0.0,603.3625411083141,1085.7556842820077
