date,Virginia,flu how long,how long flu,flu symptoms,the flu,bronchitis,contagious flu,flu contagious,flu cold,flu a,symptoms of the flu,rsv,symptoms of flu,the flu symptoms,pneumonia,sinus,stomach flu,how long does flu last,is flu contagious,flu incubation,fever flu
2017-06-24,0.765601,0.0,0.0,148.8312689006735,114.39317565722308,344.8026767126159,0.0,0.0,0.0,82.49027711668207,0.0,90.09111102778527,0.0,0.0,697.9532010156196,1181.0077411553648,105.16376277014098,0.0,0.0,0.0,0.0
2017-07-01,0.774195,76.05021452681584,76.05021452681585,130.3110716976096,127.00411578341377,404.2355412568183,0.0,0.0,124.2715757189375,75.10939466548085,0.0,101.87979590111853,0.0,0.0,722.7312087738904,1272.2545043854864,92.15579748273316,78.65071421560239,0.0,0.0,0.0
2017-07-08,0.659217,0.0,0.0,188.30679525313775,76.92024087927506,365.3491809684002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.4884536832973,981.039908015044,130.4721233642364,0.0,0.0,0.0,0.0
2017-07-15,0.60003,0.0,0.0,155.86322762842823,197.1137031287139,289.9741364232437,0.0,0.0,114.5543861268669,148.021601682074,0.0,0.0,0.0,0.0,547.7725156407379,1078.4025253963678,136.69034372811382,0.0,0.0,0.0,0.0
2017-07-22,0.622391,0.0,0.0,180.08183752936722,145.69333808630398,363.0040136823509,0.0,0.0,116.37114409192488,0.0,0.0,134.61587766142043,0.0,0.0,567.385775500183,1072.1538737374551,0.0,0.0,0.0,0.0,0.0
2017-07-29,0.575314,0.0,0.0,83.19130583210676,192.895382139147,329.1943437713873,0.0,0.0,0.0,161.03940336756634,0.0,77.25389819559834,0.0,0.0,561.8633794093336,1039.886799435871,0.0,0.0,0.0,0.0,0.0
2017-08-05,0.614038,0.0,0.0,111.75696215541086,149.87547653953996,359.939378525034,0.0,0.0,88.04002408769645,89.17335981331132,0.0,0.0,0.0,77.60861671857172,673.5924171907399,1193.149851257642,149.41112848433195,0.0,0.0,0.0,0.0
2017-08-12,0.597921,0.0,0.0,163.17041103179116,151.35450506181022,272.7338180246303,0.0,0.0,91.35512657937642,103.8612204373931,0.0,0.0,0.0,0.0,594.8131730473549,948.2959389051506,94.30887320470477,0.0,0.0,0.0,0.0
2017-08-19,0.616115,0.0,0.0,109.08566537661676,258.6061415506718,283.9020145294016,0.0,0.0,146.391831971825,123.44245082582282,0.0,172.96875567917556,0.0,77.02164771651701,631.9400377128427,1139.276284599812,87.61778662198924,0.0,0.0,0.0,0.0
2017-08-26,0.595491,0.0,0.0,77.00574240025733,234.4150458505852,280.9540541767293,0.0,0.0,72.46778100040581,161.31650518913213,0.0,0.0,0.0,0.0,556.9394571921456,1007.6503383370544,114.98790265376849,0.0,0.0,0.0,0.0
2017-09-02,0.606678,0.0,0.0,208.63484236824064,259.4090619866285,369.8479587280901,0.0,0.0,162.97505694028197,184.9738478710604,0.0,92.33882017118046,0.0,69.69010677003138,644.5082105770429,1256.949676273272,172.37130643378885,0.0,0.0,0.0,0.0
2017-09-09,0.715319,0.0,0.0,0.0,153.98357876626756,482.21874167596366,0.0,0.0,134.73239723422222,143.4944957289343,84.57901682638864,101.08017098173256,0.0,0.0,781.3162775045938,1355.357693729183,0.0,0.0,0.0,0.0,0.0
2017-09-16,0.680643,0.0,0.0,265.939151580974,274.09710024304195,471.2688191094513,0.0,0.0,97.39487286959744,185.30707543749796,0.0,96.49899717651748,0.0,0.0,753.7552710450186,1441.05672134615,68.01669138694031,0.0,0.0,0.0,0.0
2017-09-23,0.792722,116.87509794308244,116.87509794308244,252.4328664464824,415.3684781486775,652.6477297115334,0.0,0.0,213.4844988135908,304.7033426591248,0.0,86.63234740518327,0.0,0.0,937.4132760522024,1574.9071399982547,94.97591663952116,0.0,0.0,0.0,0.0
2017-09-30,0.855961,144.57710075135702,144.57710075135702,220.599265315547,582.7595156473086,586.6149468188706,94.1981061425052,94.1981061425052,204.70706589779516,353.24306637968493,0.0,138.2030854007119,94.40576824623648,0.0,883.0137477645953,1338.3691482084778,122.24419341852732,0.0,74.25841236763524,0.0,0.0
2017-10-07,1.26672,145.4049844716168,145.4049844716168,414.73181532612017,550.0294700333316,615.7661539320864,0.0,0.0,242.3641349629903,472.4193186096069,0.0,67.74562957277968,67.01633487141943,126.0893909248445,1025.7316469076118,1627.5943673692757,209.2793965723682,67.1194460731248,0.0,0.0,0.0
2017-10-14,1.28371,186.8561109948193,186.8561109948193,394.4813273346638,576.2604631420932,780.1591957141519,68.66802504976417,68.66802504976417,233.8967042262907,460.6458026517637,0.0,132.68712894466245,69.91483250884676,0.0,1133.671297022794,1243.9309661174673,188.3616242528349,106.33388589901078,0.0,0.0,0.0
2017-10-21,1.43663,98.65209190754882,98.65209190754882,333.52576600880684,570.1493499202206,595.076521152515,0.0,0.0,178.9081200964901,492.8639071116828,0.0,115.23950619449845,85.20878832462044,0.0,858.0570130694102,1412.9323338789582,189.14548291017755,0.0,0.0,0.0,0.0
2017-10-28,1.61552,97.9060516669239,97.90605166692391,234.31315265297405,517.9969162268676,639.734956760877,0.0,0.0,231.38350177860585,261.975314240884,93.23824511797154,145.39998067436855,93.87010154286465,76.03651748251791,973.8090890675628,1556.9320048690483,126.59077910250927,0.0,0.0,0.0,143.516089105802
2017-11-04,1.68481,0.0,0.0,448.0438834251836,589.7882197736634,608.3485573921375,0.0,0.0,283.3278356619898,314.3105666487876,0.0,221.39443786665103,70.71241218451316,0.0,1188.4487703110938,1571.7830738206128,189.37494179774777,0.0,0.0,0.0,128.12169193178076
2017-11-11,1.78649,76.89635782793486,76.89635782793486,368.40236394201446,524.9854748389291,771.9383419532529,0.0,0.0,229.6838938004444,252.96758700741373,0.0,315.8989723788991,71.34637968177996,0.0,1265.4719219121484,1554.4044677117904,127.11704300167357,0.0,0.0,0.0,74.8340790474155
2017-11-18,2.02666,82.62272925644054,82.62272925644054,423.3850830376528,529.9831142679851,683.3405388069582,0.0,0.0,285.1371752412104,350.4515476447719,0.0,333.9923562838183,87.18976422576844,76.82615236522331,1239.3555427511608,1693.6716042215369,115.6240272502792,0.0,0.0,0.0,0.0
2017-11-25,2.19032,105.38397631696316,105.38397631696316,301.46073765299104,422.68795446936633,790.8948264283225,0.0,0.0,314.9071584008788,262.8565810641274,0.0,351.0830130782065,92.74255100260427,0.0,1084.7116804729392,1667.3054283084537,164.90161350032125,79.40882011748498,0.0,0.0,66.41873525201186
2017-12-02,2.33085,103.19382589184904,103.19382589184904,529.4510171338266,559.018693015321,841.8790516473964,0.0,0.0,131.4463429265513,259.1551683062418,0.0,436.6677308501023,71.03772173207729,132.06609649882674,1440.119043536653,1756.4625992952272,296.17580806976525,0.0,0.0,0.0,0.0
2017-12-09,2.36303,152.48297482127785,152.48297482127785,476.70502814111774,732.2722131921217,743.6412932464374,63.99193351000705,63.99193351000704,216.43643122314384,387.9000428997503,0.0,531.9300405211247,179.97588279509432,104.65077681323405,1372.9515710121082,1731.086658897036,258.1552815536522,0.0,59.00115460483655,0.0,67.35063551569665
2017-12-16,2.60214,215.18547454669084,215.18547454669084,575.9970804365986,766.8373289440633,848.7808854172237,123.47305467280034,123.47305467280034,275.38426925958345,287.1349306964861,58.855702388275695,682.8507919301849,91.12668365902196,96.2951720382532,1414.194797439462,1648.0750007772206,318.8285546127991,73.91767831965454,75.79322859666247,0.0,90.40438431739314
2017-12-23,3.05112,295.4363381221207,295.4363381221207,794.1841000022869,887.788058741014,1169.1995123759957,183.70578349782275,183.70578349782275,332.8733118474916,548.6435268213545,0.0,856.8499289320653,198.13460737295145,96.2548082335531,1312.8633642072075,2240.005535635469,430.8802366752202,130.53477633135228,70.8237645099886,0.0,99.26689014476756
2017-12-30,3.92037,284.3875909296631,284.3875909296631,1027.6700589719835,1159.122638276739,1193.1079971116249,219.44295672125145,219.44295672125145,451.8093319489156,590.5627854518997,96.2015648086352,852.9164025010137,246.0099603982453,177.19306965117948,1394.390944802449,1749.2176258669608,673.8386142639384,0.0,71.48168079015274,148.98711886835196,147.19219974991145
2018-01-06,4.34703,456.679218421639,456.679218421639,1252.5261886178123,1366.7797419218646,999.86534763459,213.25030900053648,213.25030900053645,404.7279862165111,650.7302900287243,79.04807271201472,796.9433313207302,278.78545562344203,171.99839565149034,1900.7292839894403,2180.517213514423,762.1358309013573,138.51711632344706,80.21459182696219,139.70707577500053,146.38718036701198
2018-01-13,4.86431,575.3144185320236,575.3144185320235,2047.4177753478125,2091.1954107537726,1167.1785874053735,312.9221232979482,312.9221232979482,416.5485395766841,822.9438426367889,135.16018684598916,553.9891707436448,472.1289107105351,283.1757588311747,1849.9025419093584,2010.0383901757623,594.3671338158032,194.7953019406449,103.02910992341864,104.91584869119302,161.11174105659003
2018-01-20,6.14761,698.7191212097754,698.7191212097753,2877.943451329407,3188.8324423600884,943.8488744767895,274.53463441322924,274.5346344132292,501.3553599459974,1121.8939701406885,201.27940597567132,587.8291669287444,540.61104712159,394.5946607926692,1664.0584432037372,1592.900984649918,540.7342379428355,275.78835528739194,91.297984097568,155.96114496611972,201.2042890492675
2018-01-27,8.50462,1027.0887683904643,1027.0887683904643,4071.356632042823,4913.367737807952,910.2167033424936,574.9802771657818,574.9802771657818,764.9667753106922,1658.7083898824078,278.9947345235476,437.1518924182392,1037.7796430747553,547.8802141448399,1820.2454621777683,1994.5661640489368,836.7986605694017,321.28854895132474,246.0113397954899,136.5784792807034,508.15780734235216
2018-02-03,10.5629,1357.663954838299,1357.663954838299,5194.375848721093,6630.252450814991,1013.8291378377731,645.046154472994,645.046154472994,863.9792819421754,2204.6520770455863,431.8656418102814,558.0019433297035,1161.8602274263365,804.8796759436124,2047.852308821118,1894.0726246307856,848.6791953742679,366.6566866298966,253.56745826918356,264.64959190315847,669.8908848077539
2018-02-10,10.929,1103.428105568165,1103.428105568165,4265.291073085963,5282.62256078204,977.0298608272582,555.3357093336605,555.3357093336605,843.9192759753151,1753.5945567053118,512.5720568448826,407.5129954784532,1159.395904489982,713.4404128923846,2025.880407952504,1936.0563837809896,916.0302865614776,322.1352869112528,321.9137238089354,251.57769006720977,724.4813178236861
