date,Hawaii,flu symptoms,the flu,how long flu,flu how long,symptoms of flu,influenza a,bronchitis,the flu symptoms,contagious flu,a influenza,rsv,flu cold,flu contagious,stomach flu,flu a,pneumonia,flu fever,fever flu,how long does flu last,sinus
2014-10-25,4.43332,350.4574246995776,627.9753294161827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.35582397622807,0.0,434.2250490816664,501.8315119216409,779.3767213071387,0.0,0.0,0.0,1011.43827079091
2014-11-01,4.48448,539.2820124369558,445.2049857959829,0.0,0.0,0.0,0.0,553.9384373640405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.3511752026391,0.0,0.0,0.0,697.910621852588
2014-11-08,5.23318,0.0,465.5190792019187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921.9229857586556,0.0,0.0,0.0,772.327917403385
2014-11-15,5.19622,0.0,606.3108183644358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.52997133087024,0.0,0.0,643.7422196044125,1164.5079129482017,0.0,0.0,0.0,891.533634489073
2014-11-22,3.79275,0.0,449.7720914107727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1033.573159240723,0.0,0.0,0.0,852.1358384802608
2014-11-29,3.86473,0.0,0.0,0.0,0.0,0.0,0.0,465.5270641006877,0.0,0.0,0.0,440.6251937153439,0.0,0.0,706.0850904637024,0.0,0.0,0.0,0.0,0.0,1047.58827804932
2014-12-06,4.66793,0.0,434.3085027563083,0.0,0.0,0.0,436.2516784722603,568.2893449534805,0.0,0.0,0.0,0.0,0.0,0.0,551.3429181236337,0.0,534.1170341528148,0.0,0.0,0.0,1105.8921047134893
2014-12-13,4.77601,1137.20197951489,492.41677818682126,0.0,0.0,509.486088873708,0.0,0.0,0.0,0.0,0.0,500.2515967883319,0.0,0.0,0.0,0.0,909.5155219967796,0.0,0.0,0.0,1083.6972334461047
2014-12-20,6.84982,0.0,498.4776117029141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.6247186604045,0.0,0.0,0.0,460.9148126621528,1486.7783875415228,0.0,0.0,0.0,1100.4367010370838
2014-12-27,10.3704,607.1439556496119,0.0,0.0,0.0,0.0,0.0,895.482701895089,0.0,0.0,0.0,0.0,0.0,0.0,502.8526181418673,0.0,1155.1759378407326,0.0,0.0,0.0,1166.742834594883
2015-01-03,13.8313,736.1578504050677,615.569410314498,0.0,0.0,0.0,0.0,592.1818865016971,0.0,0.0,0.0,0.0,0.0,0.0,488.412840135624,0.0,1251.2066788862555,0.0,0.0,0.0,1437.3653851654765
2015-01-10,11.99,927.6340492428252,1287.9826267725646,643.8730008324634,518.9202599403941,0.0,0.0,984.4345628107756,0.0,0.0,0.0,602.6107490928068,0.0,0.0,0.0,0.0,1682.2448692083294,0.0,0.0,0.0,1286.1794324062414
2015-01-17,16.1445,852.937462343815,1359.5685754661654,0.0,0.0,0.0,0.0,570.1473320906407,822.7525553265227,0.0,0.0,701.8744692033367,0.0,0.0,687.3642746411011,470.9446952646513,1403.0657199585685,0.0,446.94525292440807,0.0,1728.181670283926
2015-01-24,15.7855,995.5979067812956,682.3251478242547,0.0,0.0,0.0,0.0,1385.095395879896,0.0,0.0,0.0,489.1791912477718,574.1343341112772,0.0,677.3035331712659,577.5699383537413,1486.105741221895,0.0,0.0,0.0,1349.9459326406547
2015-01-31,15.5854,1137.2645253065766,1163.2295278488398,483.91975649480906,587.0836023919853,0.0,0.0,825.6092229353557,0.0,0.0,0.0,680.6398042322298,0.0,0.0,545.0282293302173,537.9706424089782,1681.6474467372052,417.15374154324223,0.0,0.0,1450.0378631192714
2015-02-07,13.8272,617.0567216719604,775.8097518485163,0.0,0.0,0.0,0.0,752.4481311305192,0.0,0.0,0.0,406.6421546828422,830.3901564569355,0.0,496.6771256548573,0.0,852.3254969681362,0.0,0.0,0.0,1079.3216430760508
2015-02-14,11.6471,963.4925144095628,943.8095819983306,610.5226019111618,464.4828003284762,0.0,0.0,676.6459466959628,0.0,0.0,0.0,441.7184828134364,0.0,0.0,0.0,406.0486857226867,1464.5096333102397,0.0,0.0,0.0,1026.8044518992338
2015-02-21,10.6383,0.0,666.8875139405145,0.0,1012.422599245094,0.0,0.0,794.1123515858606,0.0,0.0,0.0,0.0,0.0,0.0,744.925778399253,0.0,1593.0661966773423,0.0,0.0,0.0,1374.4214212779054
2015-02-28,8.05215,0.0,705.4694698862618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.0025449879059,0.0,1529.2616018441415,0.0,0.0,0.0,1118.436157589726
2015-03-07,8.73866,0.0,0.0,0.0,0.0,0.0,0.0,549.8273199833865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1601.4725224903018,0.0,0.0,0.0,1078.6404088378754
2015-03-14,8.16012,0.0,473.310435287735,0.0,0.0,0.0,0.0,1018.1667367363218,0.0,0.0,0.0,513.5739923815693,529.0531977533293,0.0,0.0,0.0,1260.109989691221,0.0,0.0,0.0,1422.925637730452
2015-03-21,4.90196,433.20807356166745,678.4131767818765,0.0,0.0,0.0,0.0,556.1831810891404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842.755697685267,467.8780619252177,0.0,0.0,1659.5004754902366
2015-03-28,6.49029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,632.8381230460873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.8326388161985,0.0,0.0,0.0,811.2244767798229
2015-04-04,6.16184,521.208047347893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.0920926209513,0.0,0.0,0.0,1658.5057998700254
2015-04-11,6.63667,0.0,0.0,0.0,0.0,0.0,0.0,896.4394058774249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.3719454276644,962.0885590080828,0.0,0.0,519.4212441913324
2015-04-18,6.00693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.6327780323705,0.0,0.0,0.0,931.7898070152612
2015-04-25,4.33333,0.0,0.0,569.0167395175577,0.0,0.0,0.0,650.0125894691906,562.4460748801548,0.0,0.0,0.0,0.0,0.0,795.9428803592299,0.0,1693.3553001564496,0.0,0.0,553.512930108629,1001.9140844320478
2015-05-02,4.70639,0.0,0.0,0.0,509.0104878349549,0.0,0.0,534.0683276326514,0.0,0.0,0.0,0.0,0.0,0.0,593.4867732980875,0.0,1045.8545216586851,0.0,0.0,0.0,698.8828244489821
2015-05-09,5.75365,0.0,0.0,0.0,0.0,0.0,0.0,514.8465862277991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1208.8953720832776,0.0,0.0,0.0,966.8223664443942
2015-05-16,5.51905,0.0,529.1512379600051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.174971946905,0.0,0.0,0.0,764.8534596673743
2015-05-23,5.65386,0.0,559.9341249374279,0.0,0.0,0.0,0.0,501.5297988497775,0.0,0.0,0.0,0.0,0.0,0.0,560.4047968913883,0.0,1219.032983933064,0.0,0.0,0.0,1393.0252458713194
2015-05-30,5.62566,0.0,0.0,0.0,0.0,0.0,0.0,728.3412551456796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076.381297597035,0.0,0.0,0.0,959.7988069392652
2015-06-06,4.81513,0.0,0.0,0.0,0.0,0.0,0.0,704.612888111881,0.0,0.0,562.5730666834128,0.0,0.0,0.0,0.0,751.2236602503386,986.9523453547114,0.0,0.0,0.0,1338.4088717479362
2015-06-13,1.17139,0.0,0.0,0.0,0.0,0.0,0.0,898.0308968188292,0.0,0.0,0.0,0.0,0.0,0.0,556.2434700512141,0.0,0.0,0.0,1183.142105591454,0.0,1259.829480093388
2015-06-20,0.992282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.7723207140065,0.0,0.0,0.0,0.0,1288.7790976705353
2015-06-27,0.7922,0.0,0.0,0.0,0.0,0.0,0.0,846.1602791664488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,838.250891542181,0.0,0.0,0.0,1096.3897868863762
2015-07-04,1.45128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9653512376524,0.0,0.0,0.0,0.0
2015-07-11,1.00711,0.0,0.0,0.0,0.0,709.2759975044846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,854.7060874685221,0.0,1130.986111823236,0.0,0.0,0.0,1045.973568492809
2015-07-18,0.931099,0.0,0.0,0.0,0.0,0.0,0.0,730.6342131426021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429.0189139151764
2015-07-25,1.30516,0.0,0.0,0.0,0.0,0.0,0.0,770.5392308342977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.158811449711,0.0,0.0,0.0,1354.2889926390403
2015-08-01,0.624025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-08,1.35811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.6875829436625
2015-08-15,0.573248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342.6283008225512
2015-08-22,0.676133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.2860345775082
2015-08-29,1.14141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,806.8450323344298
2015-09-05,1.13208,0.0,0.0,0.0,0.0,0.0,0.0,647.464337774245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.6457148925741,0.0,0.0,0.0,0.0
2015-09-12,2.0979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847.7162189550602,0.0,0.0,0.0,1646.0253184100093
2015-09-19,2.0552,0.0,645.9665273638572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0833087863081,0.0,0.0,0.0,948.1248015513823
2015-09-26,2.17267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.6256713717182,0.0,0.0,0.0,1327.9117289482658
2015-10-03,1.89255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.5513554922774,0.0,0.0,0.0,1115.3135742502309
2015-10-10,2.33303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.431254927002,0.0,0.0,0.0,0.0
2015-10-17,1.79028,675.4046729735259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,888.1151936880985,0.0,1448.858126258948,0.0,0.0,0.0,1173.8208230478594
2015-10-24,1.30685,0.0,1011.4201569595192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.4266377544166,0.0,0.0,0.0,0.0,743.1841425836786,1260.0638620030652,0.0,0.0,0.0,0.0
2015-10-31,1.5625,924.016548432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,901.8782020562156,0.0,0.0,0.0,1447.0135954871048
2015-11-07,2.18274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.8550064040492,1424.7759355977385,0.0,0.0,0.0,796.8193517428197
2015-11-14,1.69851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.7107251594224,0.0,0.0,0.0,635.2180107907994
2015-11-21,1.47727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841.6776961371047,0.0,0.0,0.0,715.6833690294457
2015-11-28,2.48344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.6812076337224
2015-12-05,2.1764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794.4150582833025,0.0,827.2987237765132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080.2214589878358
2015-12-12,1.8315,858.2375216403985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.9846743312845,0.0,0.0,0.0,0.0,1265.504881859518,0.0,751.0171919117076,0.0,723.707337050732
2015-12-19,2.04221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1393.870951081945,0.0,0.0,0.0,0.0
2015-12-26,1.5873,0.0,0.0,0.0,0.0,0.0,0.0,1170.888186336107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,956.7341760867076,0.0,0.0,0.0,1000.4289656504136
2016-01-02,2.1164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,754.7037061498027,0.0,0.0,0.0,1604.342238295459
2016-01-09,1.22735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.7573803058897,0.0,0.0,0.0,0.0,979.2828155774628,0.0,0.0,0.0,1277.9703978530513
2016-01-16,1.75439,0.0,0.0,0.0,0.0,0.0,0.0,577.3355216813028,0.0,0.0,0.0,786.9566305156885,0.0,0.0,0.0,0.0,957.7353626146293,0.0,0.0,0.0,1013.200226595569
2016-01-23,2.45362,0.0,0.0,0.0,0.0,0.0,0.0,558.4337793775359,0.0,0.0,0.0,0.0,0.0,0.0,582.3269457883687,0.0,1251.395742607289,0.0,0.0,621.3446086151706,782.4858982637916
2016-01-30,3.19211,0.0,0.0,0.0,0.0,0.0,0.0,732.3467808815515,0.0,0.0,0.0,0.0,0.0,0.0,546.0117548194557,0.0,1761.4552246018084,651.1353809837323,0.0,0.0,1119.458601353217
2016-02-06,2.35911,0.0,649.5059943802514,0.0,0.0,0.0,0.0,624.9615771530468,0.0,538.5874922000608,0.0,0.0,0.0,0.0,765.0240691447215,0.0,1410.1059020363784,0.0,0.0,0.0,1132.0299568890634
2016-02-13,4.0253,0.0,0.0,0.0,0.0,0.0,0.0,641.6517581762774,0.0,0.0,617.1613016669398,0.0,0.0,0.0,654.0447996348664,0.0,1091.0660156558592,0.0,0.0,0.0,1117.929809582919
2016-02-20,4.25139,510.2318343912926,0.0,0.0,0.0,0.0,0.0,789.4594532175109,0.0,0.0,0.0,0.0,0.0,0.0,768.5186404124776,0.0,1417.7277979485518,0.0,0.0,0.0,1132.3755980504495
2016-02-27,5.57043,0.0,916.341641164011,0.0,0.0,0.0,0.0,580.2993325896006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1183.6012364770068,0.0,0.0,0.0,1086.3471363113704
