date,Utah,cold,rsv,flu symptoms,the flu,pneumonia,a influenza,influenza a,how long flu,flu how long,symptoms of flu,bronchitis,the flu symptoms,contagious flu,flu cold,flu contagious,stomach flu,flu a,flu fever,fever flu,how long does flu last
2019-03-23,4.03966,10658.977589978902,368.41284974102126,752.7620596922421,1185.9636329344962,1713.88615790142,531.3418345884379,531.3418345884379,309.3331408109288,259.8412483551124,0.0,698.7616804533822,192.2871171185577,0.0,0.0,0.0,485.7137484818288,555.327519857811,222.29429170299767,0.0,0.0
2019-03-30,3.41714,10554.763297311443,552.6722578905735,356.71999773509583,988.5478322413792,1294.29993997479,198.44310511416575,198.44310511416575,0.0,0.0,0.0,550.4096373831125,0.0,0.0,0.0,0.0,0.0,283.98832529034047,195.10150341254777,214.35828216348636,0.0
2019-04-06,3.27877,10626.22855985976,364.5690481592371,0.0,519.4893107396058,1328.4777448931663,315.2922024829796,315.2922024829796,0.0,0.0,0.0,628.0225767548757,200.63736453005183,0.0,0.0,0.0,540.5321677710709,315.5195485463927,0.0,0.0,0.0
2019-04-13,2.35355,9561.587573753008,230.7750182825356,440.58867856727824,507.6669879067557,1121.966628798274,0.0,0.0,0.0,0.0,0.0,421.1051139709136,0.0,0.0,194.7617169771687,0.0,235.83185425022936,0.0,0.0,0.0,0.0
2019-04-20,2.73766,9376.841849589387,0.0,393.6668043457078,720.7693365296848,1111.2604786201332,0.0,0.0,0.0,0.0,357.8622409828203,821.5235802748828,0.0,0.0,0.0,0.0,303.5347136717696,256.3368381715231,0.0,0.0,0.0
2019-04-27,2.31013,10256.687617384649,0.0,0.0,335.52501172857075,1043.8205110550468,0.0,0.0,0.0,0.0,276.54684670038296,551.9079818069469,0.0,260.38711428846443,215.8088283922581,260.38711428846443,242.8921888500273,0.0,0.0,0.0,0.0
2019-05-04,2.42628,11067.851949256035,0.0,0.0,393.7198283187108,1274.9130593541422,0.0,0.0,384.7206614824236,0.0,0.0,558.0623119652162,0.0,0.0,0.0,0.0,283.41529999974034,0.0,280.92233770472336,0.0,0.0
2019-05-11,2.32142,9673.393645979806,0.0,0.0,444.0684797812666,921.3770459580334,0.0,0.0,0.0,0.0,0.0,558.9814319663908,210.81006950277336,0.0,0.0,0.0,295.0524862333445,0.0,0.0,0.0,0.0
2019-05-18,2.33507,10110.74443295442,0.0,269.17816079594854,330.2783938371885,867.3874453816793,0.0,0.0,0.0,0.0,0.0,666.9634484521847,0.0,0.0,215.23522589569708,0.0,505.7071791063338,217.1942948116374,0.0,0.0,0.0
2019-05-25,2.01746,9970.55392958052,0.0,283.3613817448663,265.52188467652286,1359.7044872186157,0.0,0.0,0.0,0.0,0.0,632.646817613697,0.0,0.0,0.0,0.0,385.14568053873376,0.0,0.0,0.0,0.0
2019-06-01,2.43707,8895.911952688932,0.0,281.74991404098864,280.1059775236322,850.8102969117897,0.0,0.0,0.0,0.0,270.0659548326898,329.93066943856815,0.0,0.0,0.0,0.0,359.3582836153501,0.0,0.0,0.0,0.0
